Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1937,-.08,.03,-.21,-.16,-.06,-.05,-.04,.01,.09,.09,.08,-.07,-.03,-.03,-.02,-.14,-.03,.08
1938,.08,.03,.09,.06,-.10,-.17,-.10,-.06,.00,.14,.07,-.13,-.01,.00,.01,.01,-.11,.07
1939,-.06,-.07,-.18,-.10,-.05,-.07,-.06,-.06,-.07,-.04,.07,.43,-.02,-.07,-.09,-.11,-.06,-.01
1940,-.01,.08,.09,.17,.11,.11,.12,.07,.15,.11,.16,.31,.12,.13,.17,.12,.10,.14
1941,.18,.31,.09,.16,.17,.13,.22,.15,.02,.35,.23,.22,.18,.19,.27,.14,.16,.20
1942,.29,.03,.05,.09,.11,.05,.00,-.04,-.03,.01,.09,.13,.06,.07,.18,.08,.00,.02
1943,-.01,.17,-.04,.10,.06,-.05,.08,.01,.05,.23,.20,.23,.09,.08,.09,.04,.01,.16
1944,.36,.24,.26,.19,.18,.15,.17,.18,.27,.26,.11,.03,.20,.22,.27,.21,.17,.21
1945,.10,.00,.05,.19,.05,.00,.03,.26,.20,.18,.07,-.07,.09,.10,.04,.10,.10,.15
1946,.15,.02,.01,.05,-.08,-.21,-.13,-.20,-.08,-.08,-.05,-.31,-.08,-.06,.03,-.01,-.18,-.07
1947,-.07,-.08,.06,.06,-.02,-.02,-.05,-.07,-.13,.07,.03,-.13,-.03,-.04,-.15,.03,-.04,-.01
1948,.07,-.15,-.25,-.12,-.01,-.05,-.11,-.12,-.15,-.05,-.13,-.24,-.11,-.10,-.07,-.13,-.09,-.11
1949,.07,-.15,-.02,-.11,-.10,-.27,-.13,-.13,-.15,-.07,-.11,-.18,-.11,-.12,-.11,-.08,-.18,-.11
1950,-.26,-.27,-.08,-.21,-.11,-.05,-.09,-.16,-.12,-.21,-.34,-.21,-.18,-.17,-.24,-.13,-.10,-.22
1951,-.34,-.41,-.20,-.14,-.01,-.07,-.01,.06,.05,.07,-.01,.16,-.07,-.10,-.32,-.12,-.01,.04
1952,.11,.11,-.08,.03,-.03,-.03,.04,.05,.07,.00,-.13,-.02,.01,.02,.13,-.03,.02,-.02
1953,.07,.15,.11,.19,.11,.11,.01,.05,.04,.08,-.03,.05,.08,.07,.07,.14,.06,.03
1954,-.24,-.10,-.15,-.14,-.20,-.19,-.19,-.17,-.10,-.02,.08,-.18,-.13,-.11,-.10,-.16,-.18,-.01
1955,.13,-.16,-.32,-.22,-.20,-.14,-.12,.02,-.11,-.05,-.25,-.28,-.14,-.13,-.07,-.25,-.08,-.14
1956,-.13,-.24,-.21,-.27,-.29,-.16,-.09,-.26,-.19,-.23,-.15,-.06,-.19,-.21,-.22,-.26,-.17,-.19
1957,-.09,-.03,-.04,.01,.09,.16,.03,.13,.08,.00,.07,.15,.05,.03,-.06,.02,.11,.05
1958,.39,.21,.09,.01,.05,-.07,.06,-.03,-.02,.04,.02,.01,.06,.07,.25,.05,-.01,.02
1959,.08,.07,.17,.14,.05,.03,.03,.00,-.06,-.06,-.08,.00,.03,.03,.05,.12,.02,-.07
1960,.00,.14,-.34,-.15,-.07,-.04,-.04,.03,.06,.05,-.11,.19,-.02,-.04,.05,-.19,-.02,.00
1961,.07,.19,.10,.12,.13,.11,.01,.01,.08,.02,.04,-.16,.06,.09,.15,.12,.04,.04
1962,.06,.16,.11,.06,-.07,.05,.02,-.02,.02,.02,.06,-.02,.04,.03,.02,.03,.02,.03
1963,-.03,.18,-.13,-.07,-.06,.03,.07,.22,.18,.14,.14,-.03,.05,.05,.04,-.09,.11,.15
1964,-.09,-.10,-.22,-.32,-.25,-.04,-.05,-.21,-.30,-.31,-.22,-.30,-.20,-.18,-.07,-.26,-.10,-.28
1965,-.08,-.17,-.12,-.20,-.11,-.08,-.14,-.05,-.14,-.06,-.06,-.08,-.11,-.13,-.18,-.14,-.09,-.09
1966,-.19,-.05,.03,-.14,-.12,.00,.08,-.08,-.03,-.16,-.01,-.03,-.06,-.06,-.11,-.08,.00,-.07
1967,-.08,-.21,.05,-.04,.11,-.08,.03,.00,-.05,.10,-.04,-.05,-.02,-.02,-.11,.04,-.02,.00
1968,-.26,-.15,.20,-.06,-.13,-.07,-.12,-.08,-.17,.09,-.05,-.14,-.08,-.07,-.15,.00,-.09,-.04
1969,-.11,-.17,.01,.17,.18,.04,-.04,.04,.08,.10,.12,.24,.06,.02,-.14,.12,.01,.10
1970,.08,.22,.06,.05,-.04,-.03,.01,-.10,.11,.03,.02,-.12,.03,.06,.18,.03,-.04,.05
1971,-.03,-.16,-.18,-.07,-.05,-.17,-.08,-.01,-.06,-.04,-.07,-.08,-.08,-.09,-.10,-.10,-.08,-.06
1972,-.22,-.18,.02,.00,-.03,.04,.01,.16,.02,.08,.02,.17,.01,-.01,-.16,.00,.07,.04
